day,LAI
2021/7/8,0.02068306576903159
2021/7/18,0.24298291040911443
2021/7/29,0.4679785948558606
2021/8/6,0.5739685827723114
2021/8/15,0.4512342482306232
2021/8/27,0.6143621612290696
2021/9/7,0.49300880372863803
2021/9/20,0.392715346107371
2022/7/5,0.02292421888486104
2022/7/17,0.14098049369929225
2022/7/20,0.21370619713447264
2022/7/28,0.5095805282237184
2022/8/6,0.6625237355428966
2022/8/15,0.7265665458311756
2022/8/31,0.6756430174348351
2022/9/13,0.6178146038322113
2022/9/28,0.35888140859658213
