day,LAI
2021/7/8,0.011377783531848783
2021/7/18,0.1692646297255308
2021/7/29,0.49438978076989476
2021/8/6,0.5605040566200588
2021/8/15,0.5884688417055067
2021/8/27,0.6659761781460383
2021/9/7,0.5636112549628862
2021/9/20,0.4493354047988952
2022/7/5,0.028499913688934925
2022/7/17,0.31071983428275507
2022/7/20,0.21077162092180218
2022/7/28,0.667357155187295
2022/8/6,0.6438805454859313
2022/8/15,0.6202313136544105
2022/8/31,0.6961850509235284
2022/9/13,0.8142585879509754
2022/9/28,0.5950284826514759
