day,LAI
2021/7/8,0.016110435007767994
2021/7/18,0.18845157949249092
2021/7/29,0.7143103745900224
2021/8/6,0.5335750043155533
2021/8/15,0.5693077852580701
2021/8/27,0.6267909546003798
2021/9/7,0.569135163127913
2021/9/20,0.442775763852926
2022/7/5,0.024857586742620407
2022/7/17,0.17745554980148456
2022/7/20,0.22578974624546866
2022/7/28,0.48006214396685654
2022/8/6,0.5168306576903159
2022/8/15,0.5444501985154497
2022/8/31,0.6445710340065596
2022/9/13,0.5168306576903159
2022/9/28,0.29466597617814605
